group,sentiment,lix
0,29.27615470173787,37.92145118954763
1,32.14974435011196,32.44014332352664
2,34.869838048127316,37.56805687537319
3,32.043913828329247,36.28266527549175
4,32.12857510083906,41.593310746675535
5,29.56373811262326,36.36572167417151
